,mr349-MV411-YLK-r3_tcount,mr343-MV411-DMSO-r1_tcount,mr345-MV411-DMSO-r3_tcount,mr347-MV411-YLK-r1_tcount,mr348-MV411-YLK-r2_tcount,mr344-MV411-DMSO-r2_tcount,mr346-MV411-DMSO-r4_tcount,mr350-MV411-YLK-r4_tcount
PPIH,263,463,492,250,343,545,464,517
COG5,980,1042,1223,630,1118,1419,1061,1125
ZNHIT1,397,651,791,432,494,791,650,725
TIMM44,218,383,453,212,272,398,332,413
ZBTB18,201,221,212,120,214,309,201,224
HMGN4,1785,1955,2348,1282,2177,2748,2089,2223
TADA3,1710,3570,3959,1889,2195,4215,3287,3339
TRIM38,1079,989,1192,840,1143,1271,1094,1449
ATP5PD,262,380,357,268,335,552,404,478
UBE2E3,357,423,492,283,454,547,438,548
SLC25A17,630,905,1077,501,833,1241,881,1012
SLC9A6,586,757,817,411,643,1051,748,704
EIF3M,269,292,324,178,269,458,317,321
HOXB13,1,8,10,1,3,9,3,16
NXF1,928,1653,1851,957,1179,1782,1610,1892
SEC23B,291,285,331,232,348,418,318,400
SEC23A,375,382,424,217,394,627,402,368
CAP1,8141,10685,12894,6770,9395,14611,11534,12602
CREB3,55,114,116,56,69,109,89,115
LRRC41,380,676,767,411,429,805,672,782
VTI1B,357,441,530,303,491,712,473,536
CRTAP,1548,2435,2796,1447,1765,3064,2561,2624
SYNCRIP,10603,10053,11735,6967,11939,15017,10726,11059
VAT1,3791,6411,7520,3735,4456,8054,6702,7092
STK25,417,656,779,416,437,831,584,776
ENOX2,380,473,556,305,509,631,546,474
UNC13B,18,21,29,12,14,24,20,27
CARM1,1560,2779,3136,1651,1829,3659,2924,3075
NCOA2,442,577,699,260,556,783,622,498
SEMA6C,4,6,4,1,0,5,2,6
SEMA6B,100,221,229,105,142,277,207,231
SEMA4F,6,11,18,5,8,25,13,18
SEMA4D,870,1454,1746,842,1053,1916,1674,1595
SEMA4B,31,51,68,26,43,73,69,48
APPBP2,435,561,572,323,515,766,536,541
MYBBP1A,428,763,895,436,525,911,823,992
CIB2,36,67,75,25,38,83,59,73
CIB1,1004,1648,1920,1096,1281,1828,1532,1823
ZNF211,59,89,108,57,96,93,94,105
DDX17,9460,11582,13337,7635,11048,13576,11969,13440
CHERP,1454,2454,2892,1407,1722,2972,2537,2681
KAT5,258,411,542,260,339,588,414,511
HYOU1,2590,4714,5178,2549,2925,5801,4997,5109
IPO8,1052,1208,1353,812,1240,1653,1235,1335
IPO7,3824,4068,4698,2501,4126,6168,4404,4388
NOP56,353,417,435,294,419,516,455,559
PITRM1,126,189,220,139,153,217,168,221
ATG7,653,853,1011,629,848,1145,904,1037
ZNRD2,30,50,62,30,52,60,48,61
RNASEH2A,216,349,363,238,269,384,362,413
BATF,58,85,129,78,74,139,117,118
GLRX3,176,271,312,134,194,389,263,306
DCTN2,481,760,946,482,596,946,830,845
ANP32B,5448,7442,8694,4941,5751,9967,8296,8940
LAMTOR5,453,556,719,366,536,767,615,638
PROCR,63,79,99,51,56,101,56,77
TM9SF1,159,239,290,179,210,319,291,301
PRDX4,40,53,62,51,67,87,75,61
ARL6IP5,2661,2656,2972,1658,3029,3942,2654,2792
ARPC1A,379,618,627,349,453,709,556,657
HTATIP2,349,420,498,301,410,539,437,459
AGPAT1,57,132,147,70,80,174,136,136
AGPAT2,733,1474,1743,859,908,1750,1346,1735
RPP30,279,402,486,215,371,525,441,494
RPP38,20,16,20,18,18,27,22,22
SPTLC1,1059,1269,1298,774,1281,1789,1231,1224
SLC35A1,398,387,577,326,543,595,425,468
SLC19A2,77,83,93,60,95,121,89,88
ARFGEF2,1067,1213,1448,730,1228,1758,1360,1329
ARFGEF1,729,774,939,548,762,1087,823,928
RABAC1,48,67,95,51,69,100,73,94
SLU7,622,704,871,443,653,1009,785,730
SIVA1,292,502,580,299,362,558,417,535
MRPL28,256,448,490,266,320,515,408,517
CCT7,369,575,697,385,450,689,583,704
CCT4,853,1080,1263,734,1028,1486,1127,1291
CCT2,703,915,1207,548,810,1436,1024,1181
NPC2,223,321,404,196,248,398,334,367
TACC2,21,29,27,18,34,38,27,36
SORBS1,13,14,14,6,15,24,11,8
IFITM2,1796,2971,3379,1896,2112,3595,3186,3573
POMT1,89,135,169,96,91,156,118,138
TXNRD2,72,153,197,102,104,165,137,154
MTHFS,119,183,261,115,158,229,190,210
DRAP1,196,293,351,222,246,378,309,350
DNPH1,473,696,875,455,522,865,730,872
SMC2,1563,1623,1852,1026,1778,2377,1638,1774
PRPF8,5,5,5,2,4,18,5,7
ERN2,91,164,174,107,111,193,169,183
TRAPPC2B,16,18,13,4,13,18,10,14
AHSA1,308,514,547,351,369,682,551,641
USP16,173,181,196,112,178,322,215,208
CDC42EP3,5220,5906,6809,3704,5763,7835,6734,6752
SH2B2,7,20,12,5,8,21,13,21
PAIP1,76,85,118,76,89,130,110,103
PAICS,9243,10666,12753,6479,10331,14700,11229,12373
TBL3,24,38,29,18,38,37,45,46
MXD4,386,939,1054,387,527,1132,899,902
P3H4,43,84,84,56,55,98,73,109
ST6GALNAC2,6,10,11,3,8,10,11,8
PDLIM5,413,519,568,291,526,677,488,561
TRIM3,9,13,13,6,7,23,10,19
ERLIN1,3175,4283,4790,2432,3739,5204,4341,4555
HEXIM1,349,502,570,255,341,646,505,490
SPAG5,110,106,117,93,103,142,112,142
RBCK1,289,416,517,289,290,546,475,515
STAMBP,561,699,855,417,668,870,732,806
TGOLN2,8808,12526,14278,6391,9840,15843,13330,13049
ARID3B,460,829,1032,344,528,1052,900,803
POLR3F,173,221,231,156,232,327,241,263
POLR3G,315,304,340,166,365,448,263,293
POLR3C,366,474,532,288,411,629,514,562
IVNS1ABP,529,622,628,391,600,885,628,655
TRIM16,287,484,568,296,390,652,535,526
MYL12A,2387,2835,3198,1772,2513,4183,3251,3342
TXNIP,1206,2208,2507,791,1271,3267,2411,1919
TAF6L,9,15,17,11,13,27,29,23
PDPN,7,2,7,5,7,5,3,9
ATP5MG,1510,1697,1974,1070,1645,2409,1810,1913
GAS2L1,7,34,33,13,17,23,14,30
RAD51AP1,466,564,699,319,609,939,565,549
RGS14,155,243,288,110,183,323,250,319
10638,20,34,24,19,32,43,33,34
EXOC5,1587,1620,1799,956,1737,2575,1582,1642
NPRL2,28,40,41,18,22,44,34,65
IGF2BP1,2796,4210,4975,2152,3183,5404,4667,4271
IGF2BP3,14,12,18,2,16,16,18,10
IGF2BP2,4546,4853,5926,3512,4993,6190,5538,5590
CAMKK2,1275,2108,2493,1180,1554,2552,2105,2046
PRELID3A,37,73,75,30,48,98,72,95
MTX2,230,229,300,239,267,376,297,263
YKT6,1295,2351,2794,1413,1613,3121,2368,2683
SPINT2,84,150,161,88,92,181,156,190
PMVK,218,379,440,262,317,517,394,487
KHDRBS3,6,4,4,8,3,2,5,5
KHDRBS1,6471,6625,7681,5148,7750,9227,7137,7422
CELF1,2105,3591,4000,1710,2544,4259,3689,3878
CELF2,9507,11347,13224,6657,10653,15126,12441,12025
KLF1,5,9,12,3,8,17,10,8
CTCF,1089,1360,1699,911,1263,1903,1577,1516
CD226,4,5,2,0,7,2,3,5
FARS2,28,39,53,26,33,55,53,65
CGRRF1,3,1,10,7,14,21,10,10
CGREF1,347,626,694,364,433,776,661,725
RRAGA,250,311,386,208,302,432,353,368
DCTN6,265,263,291,170,257,461,301,336
GNA13,3397,3310,3770,1886,3652,5137,3544,3988
TNFSF13B,893,997,1052,624,1031,1478,943,987
CSPG5,22,37,32,16,21,44,21,34
AVIL,21,23,21,18,22,25,21,18
B3GNT2,536,627,606,348,589,1008,584,630
GNB5,336,505,514,276,439,563,436,493
EBP,573,891,1083,564,747,1132,931,1095
DLL3,2,5,6,1,2,1,3,1
GMEB1,171,308,250,165,175,343,308,277
CCT6B,4,14,7,2,4,8,6,11
CCT8,962,1317,1567,854,1008,1927,1363,1414
CNPY3,1638,2792,3341,1578,1906,3298,2772,2985
FAM189B,0,2,5,1,1,1,1,5
USP39,595,845,1109,621,773,1175,1022,1041
POLD3,942,1254,1411,738,1120,1621,1300,1300
CERS1,3,7,6,1,6,5,1,14
AP4B1,11,11,24,9,16,23,20,24
POLQ,208,256,287,202,239,298,237,297
SLC12A7,57,110,112,52,56,127,105,99
OGA,1425,1854,2167,1192,1707,2263,2038,2156
NFAT5,403,488,476,216,490,581,450,566
NUDC,647,923,1210,671,751,1157,1037,1216
PTGES3,15017,16114,18753,11512,17688,21925,16728,17327
YME1L1,1988,2220,2870,1478,2392,3263,2511,2819
TCFL5,522,689,814,462,725,840,680,817
PLK4,97,131,107,59,123,196,99,128
STAG3,8,17,9,8,5,13,10,18
STAG2,2390,2115,2419,1351,2684,3265,2197,2274
RFPL3S,4,1,6,6,3,9,6,6
RFPL1S,151,239,269,120,171,314,214,212
RBBP9,432,475,556,294,510,651,470,503
RAI1,351,776,832,337,411,878,705,794
PTTG2,17,37,40,17,22,38,31,34
PHTF1,34,34,44,30,36,53,39,41
MAP3K2,1610,1677,1964,1002,1765,2432,1823,1886
MASP2,9,4,23,2,12,7,4,12
KLRA1P,55,78,89,38,70,76,51,87
KIF1C,379,678,803,423,503,889,717,680
GRAP,265,476,572,255,300,548,430,481
GIPC1,326,587,755,377,425,791,660,756
TRAF3IP2,58,97,95,65,59,127,90,107
NUP50,2708,3222,3718,1811,2985,4454,3468,3540
KDM5B,635,845,983,444,670,1189,939,864
TOB2,809,1207,1362,614,810,1568,1424,1472
HBS1L,484,438,464,304,506,738,542,516
AHCYL1,2620,3357,4043,2113,3063,4473,3677,3826
PLK2,58,106,112,41,70,143,104,87
ZMYND11,875,889,921,562,1032,1338,917,944
SRSF10,6597,7691,9084,4394,7881,11293,7743,7809
ZBTB6,142,215,185,59,132,341,208,172
POP4,913,1141,1492,814,1084,1545,1155,1392
ARPP19,6095,7181,7983,3748,6931,10017,7091,6962
ZNF271P,1270,1382,1551,881,1402,1866,1328,1449
ZNF234,115,179,148,52,116,154,176,163
ZNF266,407,437,642,346,481,526,509,625
ZNF274,242,276,357,199,290,356,310,366
NEK6,1235,1856,2161,989,1523,2366,1879,1807
WDR4,582,921,1184,524,683,1180,913,1009
IQGAP2,488,433,488,354,548,654,481,514
VAMP5,13,24,36,21,20,19,29,30
ZNF273,57,87,90,42,75,152,91,70
ZNF460,47,75,50,17,35,72,59,47
ZNF268,1123,1028,1398,638,1249,1589,1138,1169
MTHFD2,2235,2605,2828,1533,2599,3507,2482,2584
RPP40,23,29,34,23,14,43,28,35
CYSLTR1,825,836,910,521,904,1237,780,817
SEPTIN9,3187,6270,7396,3361,3754,7844,6128,6548
SEC24A,450,498,527,271,537,819,536,536
ENTR1,529,802,972,505,598,862,778,930
HSPH1,1417,1574,1759,1134,1854,2254,1677,1839
STARD10,0,2,0,2,2,1,5,7
WASF3,16,19,23,11,18,26,18,18
UTP14A,45,90,99,38,61,104,85,100
CPLX1,17,28,38,22,18,22,43,26
FRS3,17,31,20,11,8,23,21,38
FRS2,158,228,228,77,146,355,257,204
NEU3,120,231,248,59,134,272,193,140
FAXDC2,31,50,23,16,25,42,38,40
FAM114A2,392,428,505,286,490,680,443,473
ZNF275,621,1001,1065,411,793,1184,1033,908
TUBGCP2,2228,3825,4334,2030,2689,4495,3688,3722
CLPX,2437,3270,3861,1716,2925,4542,3230,3138
SRCAP,219,339,441,229,237,428,393,435
PPP1R13L,28,31,41,35,28,54,50,42
CD3EAP,708,1276,1413,682,860,1618,1314,1293
HPSE,109,115,147,93,97,159,112,111
RUVBL2,279,364,412,237,329,422,391,421
PGRMC1,1195,1303,1532,918,1489,1764,1288,1487
SLC26A1,13,30,30,11,12,38,23,30
ARID5A,262,248,345,280,390,313,305,516
TSPAN9,21,28,32,13,16,40,26,33
USP20,292,524,661,337,375,682,510,658
USP19,144,281,341,166,186,333,304,358
HCST,222,313,341,264,289,389,358,372
CD300C,132,221,255,139,182,277,221,251
ME3,1,13,4,6,8,10,11,10
FGL2,2374,2838,2918,1306,2579,4434,2713,2317
MRPS30,59,83,96,29,40,140,94,82
WDR3,540,636,814,381,660,938,706,727
GPR83,24,46,53,34,36,27,33,46
RAB10,3906,4675,5076,2551,4426,6314,4843,4729
MALT1,280,226,300,150,306,374,258,283
MMP24,428,751,862,489,529,950,753,827
OCLM,3,2,5,5,3,3,7,7
YIF1A,28,29,51,26,40,34,32,51
CPSF4,528,1041,1209,589,678,1237,1003,1033
JTB,771,1148,1237,696,928,1388,1094,1301
RUNDC3A,3,7,8,14,11,9,9,14
DHRS4,2,3,2,3,3,4,5,3
BRD8,126,211,251,117,137,297,215,226
MTMR11,124,186,213,137,157,259,201,228
BLCAP,1030,1616,1800,944,1268,1997,1656,1657
MAN1A2,641,741,784,313,765,946,725,628
TRAFD1,234,470,601,272,324,603,516,488
TXNL4A,2607,3861,4716,2266,3123,5020,3609,4043
PNPLA6,89,136,152,91,133,177,153,162
SUGT1,53,81,72,37,77,128,70,70
PAPOLA,9499,9272,11009,6205,10587,13182,9514,10296
TCERG1,1231,1226,1463,970,1322,1778,1436,1552
MAGED2,46,40,50,25,49,68,68,80
COPS8,639,795,854,486,825,1099,808,808
RNPS1,3237,5525,6528,3102,3858,7018,5832,6038
FASTK,26,52,52,32,46,48,58,61
SUB1,4976,5682,6217,3109,5881,8556,5166,5380
DBF4,39,58,46,29,48,77,47,59
SPIN1,1898,2369,2726,1226,2153,3190,2524,2373
RALBP1,1336,1832,2297,1195,1566,2428,1913,2034
SRSF8,692,917,1122,584,867,1203,934,920
APOBEC2,17,20,26,15,14,30,21,31
MORF4L1,1935,2194,2297,1295,2156,3098,2290,2219
PRDX3,10492,13621,15615,7975,14029,18191,12690,13377
GPR75,3,5,6,3,0,5,7,7
EHD1,685,1213,1474,665,760,1580,1256,1226
AFG3L2,709,1295,1593,799,857,1574,1418,1484
POP1,297,380,490,234,365,535,411,446
MSL3,369,410,517,291,460,560,447,508
C11orf58,2842,2941,3451,2018,3530,4323,2954,3063
KDELR1,2644,4606,5259,2623,2914,6024,5216,5611
SF3A3,2101,2834,3438,1918,2535,3582,3071,3215
AP3M2,252,383,452,229,315,462,407,432
STARD3,362,654,747,390,411,747,659,739
HNRNPA0,3860,5810,6225,3172,4051,7588,5862,5891
BTG3,54,50,39,28,54,68,41,45
CBX1,1719,2120,2634,1461,2013,2827,2265,2327
SEC61B,873,1055,1272,737,891,1552,1200,1345
TOMM34,650,901,1162,588,721,1263,960,1045
PDIA5,43,41,31,25,23,49,40,47
SERINC3,2741,3432,3893,2301,3084,4846,3868,3810
OS9,1370,2339,2746,1482,1671,2764,2364,2646
PNRC1,228,224,252,184,286,377,262,348
TMED2,7790,9647,10808,5720,9078,13367,9895,10112
LMAN2,997,1741,1939,1035,1125,2178,1679,1925
ERP29,7439,12594,15392,7951,8682,16483,13368,13246
MLLT11,32,13,23,18,15,23,22,18
STIP1,1424,2140,2643,1373,1596,2801,2285,2453
IFI44L,0,2,7,2,0,2,0,2
ACOT2,2,10,7,3,19,20,8,10
RAB40B,128,114,165,123,120,173,134,148
EBNA1BP2,265,310,402,225,292,491,377,467
CKAP4,74,134,121,66,92,161,145,144
YWHAQ,5219,5259,5915,3325,5766,7074,5624,5754
TMED10,14257,16583,18800,9977,15988,23304,17545,17755
ASCC3,837,757,935,561,947,1197,861,917
ADIRF,16,16,40,13,16,29,20,25
UQCR11,1854,2747,3518,1752,2417,3363,2758,3253
CLP1,146,256,259,144,185,313,232,267
COPS6,293,431,523,313,373,500,482,502
RAB32,173,233,285,145,173,333,261,286
MAPRE2,976,1099,1412,757,1110,1548,1238,1363
CCNI,2276,1897,2252,1501,2628,2853,2226,2358
KCNQ1OT1,203,314,321,149,229,289,374,407
GCN1,624,898,1057,652,735,1054,1055,1040
COPS5,152,178,206,84,121,281,192,228
METAP2,1992,1932,2331,1330,2276,2823,2044,2309
IMMT,629,815,1068,591,738,1070,897,1019
SF3B2,259,387,475,300,354,534,454,483
ILVBL,117,247,262,124,165,276,220,245
SLC27A5,130,159,214,115,153,214,164,231
SLC27A4,207,393,500,262,253,521,409,434
SLC27A2,23,24,31,26,27,40,25,37
KIF2C,367,767,883,444,541,963,717,841
CCDC85B,192,428,529,253,289,508,394,454
IL24,7,7,7,11,14,15,11,17
GLIPR1,2194,2306,2750,1323,2381,3429,2394,2467
TLK2,234,340,414,198,252,426,337,334
KDELR2,2182,2466,2649,1549,2390,3452,2654,2894
KDELR3,21,21,31,15,14,38,19,33
ATF7,978,1658,1919,657,1140,2086,1674,1507
SNRNP27,600,578,614,365,642,898,630,624
TMED1,603,1074,1250,566,699,1334,1075,1104
LIAS,134,177,231,136,175,246,205,219
IFT27,177,366,386,189,231,462,343,347
RAB35,1192,2192,2482,1147,1381,2694,2106,2170
TDRKH,47,86,93,57,66,90,97,65
LILRA1,6,14,12,2,9,7,12,6
RBPMS,13,16,29,13,20,23,13,28
RAB31,2136,2518,3101,1764,2668,3477,2773,2779
ADAP1,529,1099,1203,605,694,1280,981,1177
DSTN,1272,1283,1441,876,1518,1816,1338,1426
RIPK3,14,17,28,8,9,20,17,16
STON1,185,201,250,89,153,275,233,183
GUSBP14,1,4,10,3,7,1,6,5
PIM2,1284,1686,1956,1238,1511,2078,1898,2375
B4GAT1,64,95,118,51,71,118,81,88
GUSBP15,4,6,9,4,2,3,8,2
TENT4A,166,191,227,128,167,244,190,230
SLC35D2,27,40,32,15,37,49,33,44
ADRM1,237,347,401,224,258,440,381,452
NUDT21,6778,7422,8395,4359,7820,10288,7679,7523
CPSF6,2069,2080,2339,1226,2308,3114,2126,2478
OGFR,132,242,283,119,125,300,188,296
DDX52,70,82,125,60,72,122,98,106
ABHD2,2607,4183,4618,1901,3054,5274,4182,3668
WWP1,172,156,195,105,192,253,181,179
WWP2,839,1474,1748,863,1054,1786,1651,1623
DUS4L,118,103,141,56,118,155,114,135
CNTRL,295,308,339,233,399,449,351,403
UBE2C,539,889,1000,575,670,1216,963,1027
SNRNP35,49,65,82,49,69,94,82,87
DEPP1,8,18,22,5,20,23,14,29
CYB561D2,169,294,417,182,216,381,300,358
TMEM115,124,318,366,202,166,327,349,375
DUSP14,6,1,0,3,2,3,2,2
TOPBP1,505,491,566,323,572,731,569,622
TPPP,19,58,40,10,20,33,43,43
TRIOBP,483,870,988,468,556,1115,915,903
RER1,1241,1880,2282,1208,1592,2329,1984,2177
DNAJB4,89,86,74,31,74,112,76,78
DIDO1,913,1100,1315,664,1017,1493,1240,1187
WDR5,1658,2687,3165,1560,1871,3555,2829,2864
SPACA9,20,20,48,13,21,50,46,28
ADAMTS13,3,4,1,9,8,2,3,4
CACFD1,26,62,91,44,42,87,63,76
NUP42,23,38,38,12,17,49,27,34
PTPN21,1,7,3,2,2,3,4,2
HNRNPUL1,9645,13428,15699,8892,10561,17809,15504,15462
ATE1,810,1010,1059,478,958,1383,927,903
RPP14,857,1173,1363,670,972,1563,1296,1315
KRR1,1625,1718,2037,800,1792,2516,1709,1684
KATNA1,117,90,149,74,122,153,123,130
PRDM4,191,233,282,133,228,309,268,244
HIBADH,521,616,734,417,682,891,658,698
CIT,626,893,1100,577,743,1161,1030,1065
FGFR1OP,412,435,454,292,407,579,469,525
EMILIN1,10,11,13,10,7,18,16,11
BTN3A2,553,718,916,463,599,964,725,803
BTN3A1,114,163,239,101,138,182,158,193
BTN2A1,260,404,493,211,278,495,447,424
RCAN3,101,149,166,74,112,193,129,106
FAF1,210,248,286,203,238,311,274,303
CD160,2,8,7,2,0,2,3,3
KIF3A,154,168,172,106,169,255,145,176
POLR3A,494,734,897,506,537,941,815,855
CLASRP,5,16,24,8,17,25,20,25
ZWINT,2446,3318,3923,2195,3015,4346,3452,3806
CAPN11,0,1,4,0,0,2,3,6
CAPN10,35,78,99,45,33,85,85,90
KPTN,318,596,682,308,398,660,527,617
PWP1,411,532,607,307,530,695,525,561
TBC1D8,167,208,245,132,199,225,234,253
CDC37,1408,2836,3212,1652,1822,3185,2592,3330
PKIG,16,34,46,27,37,35,25,40
KAT7,659,1142,1265,511,688,1517,1262,1090
DMC1,8,12,16,10,14,15,15,14
GLMN,1091,1256,1653,768,1433,1752,1312,1396
HHLA3,23,33,25,12,14,35,31,27
HHLA2,19,34,29,23,45,44,42,34
BVES,58,63,62,34,46,80,48,62
CORO1A,6,8,12,5,7,10,3,7
WDR45,46,80,61,49,41,70,71,72
FICD,11,10,23,11,10,14,18,21
AP4S1,149,194,202,110,167,229,192,220
LDB3,2,0,2,1,1,7,0,5
LSM6,177,207,274,153,216,331,294,275
RABL2B,265,443,457,252,322,505,449,431
RABL2A,149,219,255,128,151,266,240,250
ERLIN2,3450,4680,5192,2285,4136,6199,4670,4259
ERG28,555,737,839,481,617,1014,762,835
NUDT6,5,11,13,4,3,26,8,14
NUDT4,761,846,859,558,829,1089,807,878
NUDT5,2521,2859,3249,1745,2622,3649,2852,3082
NUDT3,1531,2643,2940,1098,1787,3380,2603,2331
FSTL1,7,8,5,5,4,9,9,7
PSIP1,1432,1350,1466,935,1516,2031,1382,1509
WDHD1,351,364,450,265,370,561,388,425
STRAP,1747,1845,2169,1344,2079,2524,1980,2205
ADAMTS6,14,22,37,16,27,37,31,47
BAZ2A,1635,2472,2849,1300,1795,3068,2824,2625
BAZ1A,862,745,888,572,1004,1193,809,856
LZTS1,155,335,403,168,238,416,340,371
ZNF277,97,94,106,68,82,144,105,146
WDR6,664,1101,1343,641,829,1297,1216,1291
SLC2A6,99,181,236,111,121,233,177,210
MAP4K5,362,369,403,235,400,570,387,380
MAP4K1,11,11,13,12,8,14,11,18
RASSF1,841,1155,1423,805,1038,1474,1184,1570
NISCH,275,537,590,269,371,520,484,565
CELF3,4,8,10,1,5,6,10,11
CEP250,57,87,124,57,60,143,108,125
PTENP1,2891,3199,3846,1785,3423,4153,3028,3075
WBP4,173,135,193,86,158,277,143,177
ABCB8,122,178,215,128,125,185,160,179
SEC23IP,908,1009,1125,651,1082,1430,1031,1084
SUPT16H,4171,5710,6796,3745,4729,7409,6229,6447
CHEK2,69,99,108,60,63,95,118,120
POLI,103,149,124,59,96,157,127,149
PLPBP,2242,2706,3175,1661,2648,3575,2827,2863
IRAK3,3989,5515,6328,2657,4766,6943,5386,5239
AKAP13,913,1280,1587,673,1069,1701,1410,1501
AKAP11,1214,1337,1341,762,1360,1837,1255,1236
AKAP10,216,339,391,157,290,400,344,337
AKAP2,3555,4803,5560,2445,3794,6771,5361,4369
DDX20,108,143,155,75,124,235,159,183
DUSP10,200,254,339,149,215,335,261,283
MRPL3,2234,2650,2976,1494,2470,3544,2669,2768
RPL35,1499,1903,2165,1295,1805,2476,2143,2495
GALNT6,422,605,741,362,510,779,656,641
RASSF8,4,6,4,3,9,10,1,7
PRAF2,117,157,220,104,130,238,182,208
SEC63,2143,2317,2570,1465,2297,3467,2392,2601
POLG2,1,7,0,2,1,6,2,1
HPS5,520,550,701,343,561,739,587,668
PDCD10,260,333,418,215,355,488,326,343
RNF139,201,203,274,121,212,320,224,223
RNF24,2148,3405,3953,1657,2419,4228,3617,3373
CA5B,155,192,171,95,179,227,208,200
PADI2,51,57,70,35,52,82,68,79
PMF1,342,625,754,343,386,769,621,809
ZHX1,4242,4878,5781,2749,4960,7021,4889,4941
GPR176,15,22,32,16,13,32,32,28
PTGDR2,168,231,302,158,219,308,257,262
PACSIN2,803,1174,1282,662,953,1512,1088,1167
MAN1B1,127,226,345,158,170,262,240,273
TP53TG1,59,98,128,62,62,118,90,116
DCTN3,370,541,610,383,436,640,559,689
FILIP1L,0,0,2,0,3,4,0,11
XPOT,1708,1632,1830,1069,1775,2461,1679,1767
CHP1,2780,3661,4234,2319,3268,4567,3854,4078
PXMP4,316,488,594,213,296,608,459,465
DUSP12,57,100,87,37,66,108,78,83
SNF8,1458,2102,2580,1428,1759,2631,2228,2377
DDX19B,96,172,203,102,136,243,145,199
ATXN2L,679,1378,1594,734,795,1555,1501,1586
KLHL2,92,86,89,72,105,166,83,96
SYNRG,2,1,5,2,2,6,4,6
TREX1,30,38,43,29,33,40,48,44
KLF12,168,194,184,74,206,286,211,216
MGAT4B,216,454,554,249,279,600,455,542
PNKP,26,56,58,38,42,55,54,64
B4GALT7,107,186,199,110,113,175,192,217
VPS45,149,181,279,134,178,238,208,233
LYPLA2,343,737,803,395,467,892,688,847
CD300A,241,409,439,229,305,484,419,473
PARK7,1122,1435,1585,930,1414,1804,1488,1758
COPE,702,1088,1241,676,763,1362,1104,1398
ECD,1063,1332,1757,748,1349,1829,1422,1450
MGAT4A,16,23,34,12,12,21,17,20
GPN1,776,991,1265,638,1012,1364,1107,1103
TMC6,71,175,212,90,104,172,191,203
DDX42,1167,1619,1844,1029,1285,2122,1750,1877
FKBP9,10,18,18,11,15,20,17,30
STK38,447,631,771,385,504,826,717,667
PHB2,2232,3636,4575,2439,2706,4470,3883,4411
ACOT7,403,590,733,372,476,757,553,704
PDAP1,1998,3404,3897,2173,2330,4397,3548,3772
TUSC2,653,1007,1154,567,785,1278,1024,1076
CBX3,7408,7432,8415,5005,8926,10905,7500,8383
EXOC3,259,484,611,289,357,570,461,649
GABARAP,2172,3380,3688,2365,2594,4082,3658,4047
U2AF2,3564,6360,7424,3642,3935,8101,6620,7125
OIP5,192,249,297,142,235,304,258,245
EXOSC8,171,175,168,112,225,279,200,203
RNF13,385,341,368,203,385,534,368,394
MGLL,347,609,756,361,409,845,735,668
TWF2,241,436,575,255,286,621,493,549
GABARAPL2,663,809,985,539,762,1121,878,936
SYNPO,13,17,15,5,5,24,18,10
CASC3,1556,2429,2670,1405,1819,2901,2557,2606
NID2,14,16,13,8,12,20,14,7
COG2,187,272,275,166,223,327,258,287
TFEC,1093,1271,1365,516,1253,1963,1171,1235
ITGA11,23,25,23,14,17,45,32,42
XRN2,357,409,405,246,376,597,371,421
IKZF3,6,8,13,9,0,9,7,11
IKZF2,67,118,125,43,103,166,98,91
MRAS,1271,1977,2233,1029,1505,2438,1924,1928
ATF5,1711,2791,3211,1812,1998,3543,3098,3368
COPZ1,2778,4425,5055,2546,3474,5619,4546,4906
COPG1,580,828,1007,545,578,1136,995,984
RASA3,1210,2053,2372,1306,1442,2705,2167,2247
PHLDA1,396,169,163,243,379,204,191,496
MTF2,548,619,653,368,679,912,617,638
HSPA4L,122,138,166,84,164,194,162,165
DNAJC8,2843,3761,4610,2512,3383,4806,3952,4218
SCAF8,208,223,253,128,199,351,237,213
CEP162,44,44,48,25,37,62,47,57
ZNF652,552,813,930,397,623,1148,892,798
RHOBTB3,228,262,308,132,227,338,278,227
RNF44,1194,2259,2513,1170,1487,2671,2234,2281
DLGAP4,505,777,870,429,597,961,784,803
RAB11FIP2,319,381,381,182,326,534,368,360
PPM1E,145,152,176,101,159,224,148,149
DOLK,14,21,34,16,17,40,25,21
VASH1,624,1106,1317,592,726,1396,1178,1234
ZNF507,560,670,797,313,611,1050,766,780
AAK1,1639,2533,2693,1083,1872,3089,2640,2219
CPEB3,46,54,52,23,48,73,58,47
ADNP2,701,805,980,562,826,1117,893,957
ANKRD26,69,83,85,45,94,143,96,89
LMTK2,143,233,281,113,156,297,251,194
CHSY1,1883,2318,2384,1312,2111,3403,2500,2596
ICK,606,615,694,338,676,902,616,692
ADGRL1,105,244,276,150,160,270,273,278
NLRP1,35,45,61,38,33,60,53,57
FNDC3A,418,446,459,199,403,745,416,439
ATG14,205,278,341,137,254,367,295,289
R3HDM2,404,604,663,361,459,764,629,709
CNKSR2,21,16,27,19,28,30,20,13
FASTKD2,500,513,653,334,504,806,598,581
ZNF510,226,295,352,144,245,375,301,253
PPP6R1,2622,5019,5651,2799,2868,6222,4868,5553
SEC31A,511,563,571,344,488,769,570,657
PLEKHA6,0,2,2,0,3,0,0,5
INPP5F,201,271,334,154,239,342,290,316
