;;;;
REGION_ID;OVERLAP_GENES;PROXIMAL_GENES;CLOSEST_GENE;
1_merged_PDX_cell_lines_AML_13983_lociStitched;;PI16 MTCH1 FGD2;FGD2;
1_merged_PDX_cell_lines_AML_13984_lociStitched;PBX4;LPAR2 GMIP;PBX4;
1_merged_PDX_cell_lines_AML_13985_lociStitched;;MTSS1;MTSS1;
1_merged_PDX_cell_lines_AML_13986_lociStitched;ATP8B4;;ATP8B4;
1_merged_PDX_cell_lines_AML_13987_lociStitched;C21orf34;;C21orf34;
1_merged_PDX_cell_lines_AML_13988_lociStitched;KLF12;;KLF12;
1_merged_PDX_cell_lines_AML_13989_lociStitched;BACH2;;BACH2;
1_merged_PDX_cell_lines_AML_1399_lociStitched;;GPR56;GPR56;
1_merged_PDX_cell_lines_AML_13990_lociStitched;;SORL1;SORL1;
1_merged_PDX_cell_lines_AML_13991_lociStitched;;;TNFSF18;
1_merged_PDX_cell_lines_AML_13992_lociStitched;;;RBPJ;
1_merged_PDX_cell_lines_AML_13993_lociStitched;;;CTAGE11P;
1_merged_PDX_cell_lines_AML_13994_lociStitched;PDS5A;;PDS5A;
1_merged_PDX_cell_lines_AML_13995_lociStitched;;;RRAGC;
1_merged_PDX_cell_lines_AML_13996_lociStitched;;DGKG;DGKG;
1_merged_PDX_cell_lines_AML_13997_lociStitched;TRPC4;;POSTN;
1_merged_PDX_cell_lines_AML_13998_lociStitched;LMTK2;BHLHA15;BHLHA15;
1_merged_PDX_cell_lines_AML_13999_lociStitched;;;CTXN3;
1_merged_PDX_cell_lines_AML_14_lociStitched;MIR3134 SUSD1;;UGCG;
1_merged_PDX_cell_lines_AML_140_lociStitched;;MIR1973;MIR1973;
1_merged_PDX_cell_lines_AML_1400_lociStitched;PRKCB;;PRKCB;
1_merged_PDX_cell_lines_AML_14000_lociStitched;;;SUCLA2;
1_merged_PDX_cell_lines_AML_14001_lociStitched;;;C4orf33;
1_merged_PDX_cell_lines_AML_14002_lociStitched;SFI1;PISD;PISD;
1_merged_PDX_cell_lines_AML_14003_lociStitched;;;UBE2V2;
1_merged_PDX_cell_lines_AML_14004_lociStitched;ADCY9;;ADCY9;
1_merged_PDX_cell_lines_AML_14005_lociStitched;;OR56B4 OR52B2;OR56B4;
1_merged_PDX_cell_lines_AML_14006_lociStitched;;;;
1_merged_PDX_cell_lines_AML_14007_lociStitched;;SWAP70;SWAP70;
1_merged_PDX_cell_lines_AML_14008_lociStitched;ACSF3;;ACSF3;
1_merged_PDX_cell_lines_AML_14009_lociStitched;COL17A1;MIR936;MIR936;
1_merged_PDX_cell_lines_AML_1401_lociStitched;;RAB40AL;RAB40AL;
1_merged_PDX_cell_lines_AML_14010_lociStitched;;CD81 TSSC4;CD81;
1_merged_PDX_cell_lines_AML_14011_lociStitched;MUM1;GAMT NDUFS7 DAZAP1;NDUFS7;
1_merged_PDX_cell_lines_AML_14012_lociStitched;IGF1R;;PGPEP1L;
1_merged_PDX_cell_lines_AML_14013_lociStitched;;KCNJ15;KCNJ15;
1_merged_PDX_cell_lines_AML_14014_lociStitched;PPP3CB;PPP3CB;PPP3CB;
1_merged_PDX_cell_lines_AML_14015_lociStitched;;;C8orf71;
1_merged_PDX_cell_lines_AML_14016_lociStitched;NID1;;NID1;
1_merged_PDX_cell_lines_AML_14017_lociStitched;FAM84A;;FAM84A;
1_merged_PDX_cell_lines_AML_14018_lociStitched;THADA;;LOC100129726;
1_merged_PDX_cell_lines_AML_14019_lociStitched;FCHSD2;;ATG16L2;
1_merged_PDX_cell_lines_AML_1402_lociStitched;RAC2;CYTH4 SSTR3 C1QTNF6;RAC2;
1_merged_PDX_cell_lines_AML_14020_lociStitched;CCPG1;MIR628 FLJ27352;CCPG1;
1_merged_PDX_cell_lines_AML_14021_lociStitched;SLC45A4;;SLC45A4;
1_merged_PDX_cell_lines_AML_14022_lociStitched;YTHDF3;;YTHDF3;
1_merged_PDX_cell_lines_AML_14023_lociStitched;;;PDE4D;
1_merged_PDX_cell_lines_AML_14024_lociStitched;;;ZNF254;
1_merged_PDX_cell_lines_AML_14025_lociStitched;ARHGEF10;;KBTBD11;
1_merged_PDX_cell_lines_AML_14026_lociStitched;EIF4E3;GPR27;EIF4E3;
1_merged_PDX_cell_lines_AML_14027_lociStitched;;RARRES3 PLA2G16 HRASLS2;HRASLS2;
1_merged_PDX_cell_lines_AML_14028_lociStitched;SLC39A11;;SLC39A11;
1_merged_PDX_cell_lines_AML_14029_lociStitched;LPP;;LPP;
1_merged_PDX_cell_lines_AML_1403_lociStitched;;;;
1_merged_PDX_cell_lines_AML_14030_lociStitched;TNFAIP8L3;;TNFAIP8L3;
1_merged_PDX_cell_lines_AML_14031_lociStitched;;;KIAA1712;
1_merged_PDX_cell_lines_AML_14032_lociStitched;KIF13B;;KIF13B;
1_merged_PDX_cell_lines_AML_14033_lociStitched;;LCP1;LCP1;
1_merged_PDX_cell_lines_AML_14034_lociStitched;;CCNI;CCNI;
1_merged_PDX_cell_lines_AML_14035_lociStitched;;CCNF ATP6V0C TBC1D24 NTN3 C16orf59;NTN3;
1_merged_PDX_cell_lines_AML_14036_lociStitched;STIM1;RRM1;RRM1;
1_merged_PDX_cell_lines_AML_14037_lociStitched;ROBO2;;ROBO2;
1_merged_PDX_cell_lines_AML_14038_lociStitched;;KCTD6 PDHB;KCTD6;
1_merged_PDX_cell_lines_AML_14039_lociStitched;PLCB1;;PLCB1;
1_merged_PDX_cell_lines_AML_1404_lociStitched;PDZD8;;PDZD8;
1_merged_PDX_cell_lines_AML_14040_lociStitched;OSBPL8;OSBPL8;OSBPL8;
1_merged_PDX_cell_lines_AML_14041_lociStitched;SNX10;;SNX10;
1_merged_PDX_cell_lines_AML_14042_lociStitched;CFLAR;CASP10 CFLAR;CASP10;
1_merged_PDX_cell_lines_AML_14043_lociStitched;ARSG;;SLC16A6;
1_merged_PDX_cell_lines_AML_14044_lociStitched;;;FBRSL1;
1_merged_PDX_cell_lines_AML_14045_lociStitched;METT10D;MNT LOC284009;LOC284009;
1_merged_PDX_cell_lines_AML_14046_lociStitched;CHST11;;MIR3922;
1_merged_PDX_cell_lines_AML_14047_lociStitched;;CRYAA U2AF1;U2AF1;
1_merged_PDX_cell_lines_AML_14048_lociStitched;;IRF5 KCP;IRF5;
1_merged_PDX_cell_lines_AML_14049_lociStitched;;TPK1;TPK1;
1_merged_PDX_cell_lines_AML_1405_lociStitched;;;YTHDF3;
1_merged_PDX_cell_lines_AML_14050_lociStitched;PLAUR;ZNF428 IRGC CADM4;PLAUR;
1_merged_PDX_cell_lines_AML_14051_lociStitched;;;LMNB1;
1_merged_PDX_cell_lines_AML_14052_lociStitched;SMAP1;;SMAP1;
1_merged_PDX_cell_lines_AML_14053_lociStitched;;;HTR2C;
1_merged_PDX_cell_lines_AML_14054_lociStitched;;GATA5;GATA5;
1_merged_PDX_cell_lines_AML_14055_lociStitched;;;ULK4;
1_merged_PDX_cell_lines_AML_14056_lociStitched;UQCC;EIF6 FAM83C;FAM83C;
1_merged_PDX_cell_lines_AML_14057_lociStitched;;TAS2R38 MGAM CLEC5A;MGAM;
1_merged_PDX_cell_lines_AML_14058_lociStitched;UBR4;;IFFO2;
1_merged_PDX_cell_lines_AML_14059_lociStitched;;CDH9;CDH9;
1_merged_PDX_cell_lines_AML_1406_lociStitched;GADD45A GNG12;;GADD45A;
1_merged_PDX_cell_lines_AML_14060_lociStitched;PTPRD;;PTPRD;
1_merged_PDX_cell_lines_AML_14061_lociStitched;TRIM72 PYDC1;ITGAM FUS PYCARD;TRIM72;
1_merged_PDX_cell_lines_AML_14062_lociStitched;;PCNA CDS2 PCNA-AS1 C20orf30;C20orf30;
1_merged_PDX_cell_lines_AML_14063_lociStitched;DNAJC5B;TRIM55;TRIM55;
1_merged_PDX_cell_lines_AML_14064_lociStitched;TRIM9;;PYGL;
1_merged_PDX_cell_lines_AML_14065_lociStitched;;;BCHE;
1_merged_PDX_cell_lines_AML_14066_lociStitched;CMIP;;CMIP;
1_merged_PDX_cell_lines_AML_14067_lociStitched;;;PARP8;
1_merged_PDX_cell_lines_AML_14068_lociStitched;CHD2;;MIR3175;
1_merged_PDX_cell_lines_AML_14069_lociStitched;;;CTAGE1;
1_merged_PDX_cell_lines_AML_1407_lociStitched;P2RX1;ATP2A3 CAMKK1;P2RX1;
1_merged_PDX_cell_lines_AML_14070_lociStitched;;RAB27B;RAB27B;
1_merged_PDX_cell_lines_AML_14071_lociStitched;PAPD7;PAPD7;PAPD7;
1_merged_PDX_cell_lines_AML_14072_lociStitched;ABCC4;;ABCC4;
1_merged_PDX_cell_lines_AML_14073_lociStitched;;;SP3;
1_merged_PDX_cell_lines_AML_14074_lociStitched;;;MAT2B;
1_merged_PDX_cell_lines_AML_14075_lociStitched;MAPK8IP3;MAPK8IP3 HN1L MIR3177;MAPK8IP3;
1_merged_PDX_cell_lines_AML_14076_lociStitched;PHF19;TRAF1 PSMD5 LOC253039;PHF19;
1_merged_PDX_cell_lines_AML_14077_lociStitched;;;CABLES1;
1_merged_PDX_cell_lines_AML_14078_lociStitched;;MIR4254 BAI2 SPOCD1;BAI2;
1_merged_PDX_cell_lines_AML_14079_lociStitched;;LRRK2;LRRK2;
1_merged_PDX_cell_lines_AML_1408_lociStitched;CAT;;CAT;
1_merged_PDX_cell_lines_AML_14080_lociStitched;;;ZNF717;
1_merged_PDX_cell_lines_AML_14081_lociStitched;ZNF638;;ZNF638;
1_merged_PDX_cell_lines_AML_14082_lociStitched;BRF1;BTBD6 BRF1;BTBD6;
1_merged_PDX_cell_lines_AML_14083_lociStitched;;TBC1D9;TBC1D9;
1_merged_PDX_cell_lines_AML_14084_lociStitched;;KLF6;KLF6;
1_merged_PDX_cell_lines_AML_14085_lociStitched;LEPR;;LEPR;
1_merged_PDX_cell_lines_AML_14086_lociStitched;NOXA1;ENTPD8 EXD3 NELF;NOXA1;
1_merged_PDX_cell_lines_AML_14087_lociStitched;;;KIAA0802;
1_merged_PDX_cell_lines_AML_14088_lociStitched;;;CDH5;
1_merged_PDX_cell_lines_AML_14089_lociStitched;SRSF8;KDM4DL ENDOD1;SRSF8;
1_merged_PDX_cell_lines_AML_1409_lociStitched;SNRK;;SNRK;
1_merged_PDX_cell_lines_AML_14090_lociStitched;RBX1;;RBX1;
1_merged_PDX_cell_lines_AML_14091_lociStitched;;;ST13P4;
1_merged_PDX_cell_lines_AML_14092_lociStitched;SLFNL1;CTPS;SLFNL1;
1_merged_PDX_cell_lines_AML_14093_lociStitched;;SPTLC2;SPTLC2;
1_merged_PDX_cell_lines_AML_14094_lociStitched;ZNF518A;;ZNF518A;
1_merged_PDX_cell_lines_AML_14095_lociStitched;PPP2R2C;;WFS1;
1_merged_PDX_cell_lines_AML_14096_lociStitched;SBF2;;SBF2;
1_merged_PDX_cell_lines_AML_14097_lociStitched;ARID2;;ARID2;
1_merged_PDX_cell_lines_AML_14098_lociStitched;LOC100131060;JUN LOC100131060;LOC100131060;
1_merged_PDX_cell_lines_AML_14099_lociStitched;;CA4;CA4;
1_merged_PDX_cell_lines_AML_141_lociStitched;HOXA7 HOXA6 HOXA10 HOXA9 MIR196B HOXA11 HOXA5;HOXA11-AS1 HOXA3 HOXA1 HOXA2 HOXA4 HOXA13;HOXA9;
1_merged_PDX_cell_lines_AML_1410_lociStitched;C7orf50 GPR146;GPER MIR339;GPR146;
1_merged_PDX_cell_lines_AML_14100_lociStitched;;;DUSP6;
1_merged_PDX_cell_lines_AML_14101_lociStitched;;;NRG3;
1_merged_PDX_cell_lines_AML_14102_lociStitched;;;FAM53A;
1_merged_PDX_cell_lines_AML_14103_lociStitched;TMTC4;A2LD1;A2LD1;
1_merged_PDX_cell_lines_AML_14104_lociStitched;LPP;;LPP;
1_merged_PDX_cell_lines_AML_14105_lociStitched;TFPI;CALCRL;CALCRL;
1_merged_PDX_cell_lines_AML_14106_lociStitched;ZSWIM1 C20orf165;ACOT8 PLTP PCIF1 SNX21 CTSA ZSWIM3 NEURL2;C20orf165;
1_merged_PDX_cell_lines_AML_14107_lociStitched;GGH;LOC643763;GGH;
1_merged_PDX_cell_lines_AML_14108_lociStitched;C2CD2;PRDM15;C2CD2;
1_merged_PDX_cell_lines_AML_14109_lociStitched;WDR35;WDR35 MATN3;WDR35;
1_merged_PDX_cell_lines_AML_1411_lociStitched;C7orf72;ZPBP;C7orf72;
1_merged_PDX_cell_lines_AML_14110_lociStitched;;;ANKRD55;
1_merged_PDX_cell_lines_AML_14111_lociStitched;;TUSC5 ABR BHLHA9;BHLHA9;
1_merged_PDX_cell_lines_AML_14112_lociStitched;C5orf43;;C5orf43;
1_merged_PDX_cell_lines_AML_14113_lociStitched;NAA50;ATP6V1A KIAA2018;NAA50;
1_merged_PDX_cell_lines_AML_14114_lociStitched;LOC100294362;FLJ35220;FLJ35220;
1_merged_PDX_cell_lines_AML_14115_lociStitched;;FGD5;FGD5;
1_merged_PDX_cell_lines_AML_14116_lociStitched;SP100;;SP100;
1_merged_PDX_cell_lines_AML_14117_lociStitched;RNGTT;;RNGTT;
1_merged_PDX_cell_lines_AML_14118_lociStitched;KCNQ5;MIR4282;MIR4282;
1_merged_PDX_cell_lines_AML_14119_lociStitched;ETS1;ETS1;ETS1;
1_merged_PDX_cell_lines_AML_1412_lociStitched;ANKRD11;;ANKRD11;
1_merged_PDX_cell_lines_AML_14120_lociStitched;;GNB4;GNB4;
1_merged_PDX_cell_lines_AML_14121_lociStitched;DHX34;GPR77 MEIS3;DHX34;
1_merged_PDX_cell_lines_AML_14122_lociStitched;;KLHL4;KLHL4;
1_merged_PDX_cell_lines_AML_14123_lociStitched;;;ENPP6;
1_merged_PDX_cell_lines_AML_14124_lociStitched;MANBA;;MANBA;
1_merged_PDX_cell_lines_AML_14125_lociStitched;CYB561;ACE;CYB561;
1_merged_PDX_cell_lines_AML_14126_lociStitched;C12orf42;;C12orf42;
1_merged_PDX_cell_lines_AML_14127_lociStitched;NCRNA00271;;NCRNA00271;
1_merged_PDX_cell_lines_AML_14128_lociStitched;KIAA1462;;KIAA1462;
1_merged_PDX_cell_lines_AML_14129_lociStitched;ST3GAL2;DDX19A;DDX19A;
1_merged_PDX_cell_lines_AML_1413_lociStitched;RNF130;MIR340;RNF130;
1_merged_PDX_cell_lines_AML_14130_lociStitched;;UBXN2B;UBXN2B;
1_merged_PDX_cell_lines_AML_14131_lociStitched;;;RAB3IP;
1_merged_PDX_cell_lines_AML_14132_lociStitched;GALNT14;;GALNT14;
1_merged_PDX_cell_lines_AML_14133_lociStitched;SMPDL3B;RPA2 XKR8;SMPDL3B;
1_merged_PDX_cell_lines_AML_14134_lociStitched;;PISD;PISD;
1_merged_PDX_cell_lines_AML_14135_lociStitched;;PEX12 AP2B1 SLFN14 SNORD7;SNORD7;
1_merged_PDX_cell_lines_AML_14136_lociStitched;;TMEM100;TMEM100;
1_merged_PDX_cell_lines_AML_14137_lociStitched;PRKCB;;PRKCB;
1_merged_PDX_cell_lines_AML_14138_lociStitched;PPARGC1B;PPARGC1B;PPARGC1B;
1_merged_PDX_cell_lines_AML_14139_lociStitched;PRKG1;;DKK1;
1_merged_PDX_cell_lines_AML_1414_lociStitched;;UCP2 UCP3;UCP3;
1_merged_PDX_cell_lines_AML_14140_lociStitched;;GABBR2;GABBR2;
1_merged_PDX_cell_lines_AML_14141_lociStitched;;;LMO7;
1_merged_PDX_cell_lines_AML_14142_lociStitched;ZC3H18;IL17C;ZC3H18;
1_merged_PDX_cell_lines_AML_14143_lociStitched;;AFP AFM ALB;AFP;
1_merged_PDX_cell_lines_AML_14144_lociStitched;SLCO4A1;LOC100127888;SLCO4A1;
1_merged_PDX_cell_lines_AML_14145_lociStitched;DOCK1;;FAM196A;
1_merged_PDX_cell_lines_AML_14146_lociStitched;NCRNA00189;;NCRNA00189;
1_merged_PDX_cell_lines_AML_14147_lociStitched;DIP2A;;S100B;
1_merged_PDX_cell_lines_AML_14148_lociStitched;;;CD2;
1_merged_PDX_cell_lines_AML_14149_lociStitched;SH3TC1;HTRA3;SH3TC1;
1_merged_PDX_cell_lines_AML_1415_lociStitched;INPP5B;;INPP5B;
1_merged_PDX_cell_lines_AML_14150_lociStitched;PELO ITGA1;;ITGA1;
1_merged_PDX_cell_lines_AML_14151_lociStitched;CYYR1;;CYYR1;
1_merged_PDX_cell_lines_AML_14152_lociStitched;AHCYL1;FAM40A;AHCYL1;
1_merged_PDX_cell_lines_AML_14153_lociStitched;;;LYPLAL1;
1_merged_PDX_cell_lines_AML_14154_lociStitched;;;NUFIP1;
1_merged_PDX_cell_lines_AML_14155_lociStitched;TRIM46;DPM3 MIR92B EFNA1 MTX1 THBS3 KRTCAP2 MUC1 GBAP1 SLC50A1;TRIM46;
1_merged_PDX_cell_lines_AML_14156_lociStitched;PPM1B;;PPM1B;
1_merged_PDX_cell_lines_AML_14157_lociStitched;TCF4;;TCF4;
1_merged_PDX_cell_lines_AML_14158_lociStitched;MDFIC;;MDFIC;
1_merged_PDX_cell_lines_AML_14159_lociStitched;NPHP4;KCNAB2;NPHP4;
1_merged_PDX_cell_lines_AML_1416_lociStitched;FADS2;MIR611 FEN1 FADS1 MIR1908 FADS3 C11orf10;FADS2;
1_merged_PDX_cell_lines_AML_14160_lociStitched;NCAM2;;NCAM2;
1_merged_PDX_cell_lines_AML_14161_lociStitched;P2RX4;;P2RX4;
1_merged_PDX_cell_lines_AML_14162_lociStitched;;PNRC1;PNRC1;
1_merged_PDX_cell_lines_AML_14163_lociStitched;;COPZ1 ZNF385A GPR84 MIR148B;GPR84;
1_merged_PDX_cell_lines_AML_14164_lociStitched;MCTP1;;MCTP1;
1_merged_PDX_cell_lines_AML_14165_lociStitched;;CDR2L KCTD2 ICT1 ATP5H;ATP5H;
1_merged_PDX_cell_lines_AML_14166_lociStitched;TBC1D22A;;TBC1D22A;
1_merged_PDX_cell_lines_AML_14167_lociStitched;;H3F3A LOC440926;LOC440926;
1_merged_PDX_cell_lines_AML_14168_lociStitched;;STK33;STK33;
1_merged_PDX_cell_lines_AML_14169_lociStitched;;;STX11;
1_merged_PDX_cell_lines_AML_1417_lociStitched;SFMBT2;;SFMBT2;
1_merged_PDX_cell_lines_AML_14170_lociStitched;PSMG1;PSMG1;PSMG1;
1_merged_PDX_cell_lines_AML_14171_lociStitched;CAPN3;CAPN3;CAPN3;
1_merged_PDX_cell_lines_AML_14172_lociStitched;;MIR223 VSIG4;VSIG4;
1_merged_PDX_cell_lines_AML_14173_lociStitched;ATP9A;;NFATC2;
1_merged_PDX_cell_lines_AML_14174_lociStitched;;ZNF672 ZNF692 PGBD2 SH3BP5L MIR3124;ZNF692;
1_merged_PDX_cell_lines_AML_14175_lociStitched;NEDD9;;NEDD9;
1_merged_PDX_cell_lines_AML_14176_lociStitched;;PIN1 ZNF846 UBL5 FBXL12;ZNF846;
1_merged_PDX_cell_lines_AML_14177_lociStitched;CNTN4;;CNTN4;
1_merged_PDX_cell_lines_AML_14178_lociStitched;;MED13L;MED13L;
1_merged_PDX_cell_lines_AML_14179_lociStitched;;;FGF9;
1_merged_PDX_cell_lines_AML_1418_lociStitched;RFX7;;RFX7;
1_merged_PDX_cell_lines_AML_14180_lociStitched;COX6C;;COX6C;
1_merged_PDX_cell_lines_AML_14181_lociStitched;;PIN1 ZNF846 UBL5 FBXL12;ZNF846;
1_merged_PDX_cell_lines_AML_14182_lociStitched;TFDP2;TFDP2;TFDP2;
1_merged_PDX_cell_lines_AML_14183_lociStitched;;C5orf53 PURA;PURA;
1_merged_PDX_cell_lines_AML_14184_lociStitched;;RALGAPA2;RALGAPA2;
1_merged_PDX_cell_lines_AML_14185_lociStitched;;PRNP;PRNP;
1_merged_PDX_cell_lines_AML_14186_lociStitched;RNF145;;RNF145;
1_merged_PDX_cell_lines_AML_14187_lociStitched;;SLAMF1 CD48;SLAMF1;
1_merged_PDX_cell_lines_AML_14188_lociStitched;;;NRXN3;
1_merged_PDX_cell_lines_AML_14189_lociStitched;KDM2B;ORAI1;KDM2B;
1_merged_PDX_cell_lines_AML_1419_lociStitched;ITPR1;;EGOT;
1_merged_PDX_cell_lines_AML_14190_lociStitched;;ZBP1;ZBP1;
1_merged_PDX_cell_lines_AML_14191_lociStitched;RPAP2;;GLMN;
1_merged_PDX_cell_lines_AML_14193_lociStitched;SBF2;;SBF2;
1_merged_PDX_cell_lines_AML_14194_lociStitched;LOC388387;AOC2 AOC3 LOC90586 G6PC;LOC388387;
1_merged_PDX_cell_lines_AML_14195_lociStitched;;CHD7;CHD7;
1_merged_PDX_cell_lines_AML_14196_lociStitched;;;COMTD1;
1_merged_PDX_cell_lines_AML_14197_lociStitched;;;ERCC4;
1_merged_PDX_cell_lines_AML_14198_lociStitched;;CXCL6 PF4V1 CXCL1;CXCL1;
1_merged_PDX_cell_lines_AML_14199_lociStitched;;FCGR2A FCGR2C FCGR3A HSPA6;HSPA6;
1_merged_PDX_cell_lines_AML_142_lociStitched;FTO;;IRX3;
1_merged_PDX_cell_lines_AML_1420_lociStitched;STIM1;;STIM1;
1_merged_PDX_cell_lines_AML_14200_lociStitched;YWHAQ;;YWHAQ;
1_merged_PDX_cell_lines_AML_14201_lociStitched;LASS6;;LASS6;
1_merged_PDX_cell_lines_AML_14202_lociStitched;;;FOXD2;
1_merged_PDX_cell_lines_AML_14203_lociStitched;NCOA2;;PRDM14;
1_merged_PDX_cell_lines_AML_14204_lociStitched;SGMS1;;ASAH2;
1_merged_PDX_cell_lines_AML_14205_lociStitched;BCL2;;BCL2;
1_merged_PDX_cell_lines_AML_14206_lociStitched;;;DAB2;
1_merged_PDX_cell_lines_AML_14207_lociStitched;LRRC27;LRRC27 STK32C;LRRC27;
1_merged_PDX_cell_lines_AML_14208_lociStitched;MTMR7;;MTMR7;
1_merged_PDX_cell_lines_AML_14209_lociStitched;XRCC4;;VCAN;
1_merged_PDX_cell_lines_AML_1421_lociStitched;;HDDC2;HDDC2;
1_merged_PDX_cell_lines_AML_14210_lociStitched;;MIR124-3;MIR124-3;
1_merged_PDX_cell_lines_AML_14211_lociStitched;;MIR429 MIR200B TTLL10 FAM132A SDF4 TNFRSF4 TNFRSF18 MIR200A B3GALT6;TNFRSF18;
1_merged_PDX_cell_lines_AML_14212_lociStitched;LEMD3;LEMD3;LEMD3;
1_merged_PDX_cell_lines_AML_14213_lociStitched;SOCS5;;SOCS5;
1_merged_PDX_cell_lines_AML_14214_lociStitched;HS2ST1;;HS2ST1;
1_merged_PDX_cell_lines_AML_14215_lociStitched;PSTPIP1;;PSTPIP1;
1_merged_PDX_cell_lines_AML_14216_lociStitched;;;FAM161A;
1_merged_PDX_cell_lines_AML_14217_lociStitched;PDHA1;PDHA1;PDHA1;
1_merged_PDX_cell_lines_AML_14218_lociStitched;DMXL2;;DMXL2;
1_merged_PDX_cell_lines_AML_14219_lociStitched;PDLIM7;DOK3 PRR7 DBN1 PDLIM7 DDX41;PDLIM7;
1_merged_PDX_cell_lines_AML_1422_lociStitched;;CYTIP;CYTIP;
1_merged_PDX_cell_lines_AML_14220_lociStitched;;;FERD3L;
1_merged_PDX_cell_lines_AML_14221_lociStitched;;;C2orf46;
1_merged_PDX_cell_lines_AML_14222_lociStitched;GABPB1;HDC;HDC;
1_merged_PDX_cell_lines_AML_14223_lociStitched;ADCY9;;ADCY9;
1_merged_PDX_cell_lines_AML_14224_lociStitched;FBXL15;TMEM180 NFKB2 PSD C10orf95 CUEDC2 MIR146B;FBXL15;
1_merged_PDX_cell_lines_AML_14225_lociStitched;MAP3K4;;NCRNA00241;
1_merged_PDX_cell_lines_AML_14226_lociStitched;;ATG13 AMBRA1 HARBI1;AMBRA1;
1_merged_PDX_cell_lines_AML_14227_lociStitched;;;ALB;
1_merged_PDX_cell_lines_AML_14228_lociStitched;;;DNAJC1;
1_merged_PDX_cell_lines_AML_14229_lociStitched;CNN2;GRIN3B HMHA1 WDR18 CNN2 ABCA7 C19orf6;CNN2;
1_merged_PDX_cell_lines_AML_1423_lociStitched;;PTPRC;PTPRC;
1_merged_PDX_cell_lines_AML_14230_lociStitched;;FAM124B;FAM124B;
1_merged_PDX_cell_lines_AML_14231_lociStitched;;CPNE5 PPIL1 C6orf89;CPNE5;
1_merged_PDX_cell_lines_AML_14232_lociStitched;;EDAR;EDAR;
1_merged_PDX_cell_lines_AML_14233_lociStitched;ADAMTS13;REXO4 SLC2A6 C9orf7 ADAMTS13;C9orf7;
1_merged_PDX_cell_lines_AML_14234_lociStitched;LOC100288525;;LOC100288525;
1_merged_PDX_cell_lines_AML_14235_lociStitched;;;TRPS1;
1_merged_PDX_cell_lines_AML_14236_lociStitched;CHD9;;CHD9;
1_merged_PDX_cell_lines_AML_14237_lociStitched;SMYD3;;SMYD3;
1_merged_PDX_cell_lines_AML_14238_lociStitched;;SERPINB10 SERPINB2;SERPINB2;
1_merged_PDX_cell_lines_AML_14239_lociStitched;C16orf72;;C16orf72;
1_merged_PDX_cell_lines_AML_1424_lociStitched;;;LOC440970;
1_merged_PDX_cell_lines_AML_14240_lociStitched;C9orf150;;C9orf150;
1_merged_PDX_cell_lines_AML_14241_lociStitched;PLXNC1;;PLXNC1;
1_merged_PDX_cell_lines_AML_14242_lociStitched;FAM83D;DHX35;DHX35;
1_merged_PDX_cell_lines_AML_14243_lociStitched;LOC729178;;STXBP5;
1_merged_PDX_cell_lines_AML_14244_lociStitched;ACAP2;;ACAP2;
1_merged_PDX_cell_lines_AML_14245_lociStitched;;CYP4F8 CYP4F12 CYP4F3;CYP4F3;
1_merged_PDX_cell_lines_AML_14246_lociStitched;;ZNF593 GRRP1 PDIK1L CNKSR1;GRRP1;
1_merged_PDX_cell_lines_AML_14247_lociStitched;ZEB2;ZEB2;ZEB2;
1_merged_PDX_cell_lines_AML_14248_lociStitched;HIPK3;;HIPK3;
1_merged_PDX_cell_lines_AML_14249_lociStitched;LEF1;;LEF1;
1_merged_PDX_cell_lines_AML_1425_lociStitched;;IFRD1;IFRD1;
1_merged_PDX_cell_lines_AML_14250_lociStitched;GRAP2;FAM83F;FAM83F;
1_merged_PDX_cell_lines_AML_14251_lociStitched;;;SMAD6;
1_merged_PDX_cell_lines_AML_14252_lociStitched;;;CRYL1;
1_merged_PDX_cell_lines_AML_14253_lociStitched;TGFBR2;;TGFBR2;
1_merged_PDX_cell_lines_AML_14254_lociStitched;;CEACAM7 CEACAM4;CEACAM4;
1_merged_PDX_cell_lines_AML_14255_lociStitched;MPP1;SNORA36A GAB3 DKC1 SNORA56 LOC100132963;SNORA56;
1_merged_PDX_cell_lines_AML_14256_lociStitched;LRRC24 LRRC14;FOXH1 MFSD3 GPT RECQL4 PPP1R16A MGC70857;LRRC24;
1_merged_PDX_cell_lines_AML_14257_lociStitched;NAPB;CSTL1 CST11;NAPB;
1_merged_PDX_cell_lines_AML_14258_lociStitched;;CXorf66 MIR505;MIR505;
1_merged_PDX_cell_lines_AML_14259_lociStitched;PPIEL;BMP8A SNORA55 PABPC4;PPIEL;
1_merged_PDX_cell_lines_AML_1426_lociStitched;EVI2A EVI2B NF1;OMG EVI2A;EVI2B;
1_merged_PDX_cell_lines_AML_14260_lociStitched;;PACS2 BRF1;PACS2;
1_merged_PDX_cell_lines_AML_14261_lociStitched;LDB3;OPN4;LDB3;
1_merged_PDX_cell_lines_AML_14262_lociStitched;;;SRRM3;
1_merged_PDX_cell_lines_AML_14263_lociStitched;;MIR3945;MIR3945;
1_merged_PDX_cell_lines_AML_14264_lociStitched;;ZNF586 ZNF587 ZNF552 FKBP1AP1;ZNF552;
1_merged_PDX_cell_lines_AML_14265_lociStitched;CUX1;;SH2B2;
1_merged_PDX_cell_lines_AML_14266_lociStitched;;SNAP23 ZFP106;SNAP23;
