KO,AAVS1,,,,MEIS1,,,
gene_id,mr351-MV411-DMSO-r1,mr352-MV411-DMSO-r2,mr353-MV411-DMSO-r3,mr354-MV411-DMSO-r4,mr355-MV411-72h_MEIS1-r1,mr356-MV411-72h_MEIS1-r2,mr357-MV411-72h_MEIS1-r3,mr358-MV411-72h_MEIS1-r4
AFG3L1P,216,336,325,229,256,230,203,459
AFG3L2,1773.1,2862.8,2962.8,2040.5,1932,1716.3,1610.7,3576.5
AFG3L2P1,0,1,0,0,1,0,1,2
AFMID,360,597,612,439,376,304,364,766
AFTPH,1210,1710,2028,1493,1150,1301,1233,2320
AFTPH-DT,68,70,103,72,62,69,86,140
AGA,161,287,304,204,167,128,140,346
AGAP10P,8.63,26.81,10.14,13.55,6.86,8.83,6.84,17.84
AGAP11,0,2.73,0,1.03,0,0,0,0.08
AGAP12P,1.41,1.65,1.66,1.52,1.63,0,0,0
AGAP14P,1.74,2.42,6.64,1.37,1.13,1.3,4.93,4.47
AGAP2,646.98,1025,985.98,664.97,479.98,406.97,397,845.95
AGAP2-AS1,1.02,0,1.02,1.03,1.02,1.03,0,1.05
AGAP3,645,1092,988,721,638,504,511,1138
AGAP4,63.89,118.43,138.43,92.48,96.02,84.84,66.81,175.72
AGAP5,113.19,195,199.8,144.25,103.96,119.66,109.8,204.2
AGAP6,252.46,379.7,345.62,324.1,258.2,256.27,241.54,544.93
AGAP7P,4.22,5.33,9.19,0,6.92,5.03,3.23,11
AGAP9,163.12,269.29,232.68,211.11,179.44,200.56,159.07,384.87
AGBL2,10,14,13,11,9,3,2,11
AGBL3,4,8,12,5,9,10,4,18
AGBL4,3,10,12,5,3,7,1,3
AGBL5,318,645,630,450.01,346.98,255,247,587.9
AGBL5-AS1,0,0,0,2,0,0,0,2
AGBL5-IT1,0,1,0,0,0,0,0,0
AGER,39,61,60,43,37,48,26,78
AGFG1,847,1149,1363,1033,721,741,705,1394
AGFG2,95,200,194,142,99,76,76,164
AGGF1,980,1449,1755,1189,996,1023.9,955,2051
AGGF1P1,5.8,12.98,9.81,9.74,3.02,15.09,5.48,7.48
AGGF1P10,0,0,0,0,0,0,0,1
AGGF1P2,11.2,15.02,26.19,15.26,5.98,9.91,9.52,26.52
AGK,177.35,296.03,268.46,201.82,167.86,172.63,161.19,371.48
