GENE,MV411-MYB-dTAG-DMSO_1h,MV411-MYB-dTAG-VHL_1h,MV411-MYB-dTAG-DMSO_2h,MV411-MYB-dTAG-VHL_2h,MV411-MYB-dTAG-DMSO_4h,MV411-MYB-dTAG-VHL_4h,MV411-MYB-dTAG-DMSO_8h,MV411-MYB-dTAG-VHL_8h,MV411-MYB-dTAG-DMSO_12h,MV411-MYB-dTAG-VHL_12h,MV411-MYB-dTAG-DMSO_24h,MV411-MYB-dTAG-VHL_24h,MV411-MYB-dTAG-DMSO_48h,MV411-MYB-dTAG-VHL_48h
CARD10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABT1,90.0,66.0,192.0,116.0,69.0,63.0,107.0,112.0,52.0,98.0,111.0,127.0,187.0,79.0
PARVB,15.0,9.0,16.0,13.0,6.0,3.0,9.0,7.0,6.0,10.0,8.0,12.0,15.0,7.0
NCAPH2,31.0,30.0,26.0,41.0,13.0,12.0,16.0,21.0,12.0,20.0,27.0,25.0,43.0,14.0
CYP2S1,1.0,2.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,3.0,2.0,3.0,2.0
OLA1,35.0,27.0,109.0,73.0,56.0,66.0,34.0,52.0,27.0,59.0,72.0,66.0,76.0,47.0
UQCR10,76.0,58.0,133.0,130.0,61.0,56.0,60.0,73.0,54.0,66.0,83.0,94.0,156.0,73.0
YPEL1,5.0,4.0,7.0,2.0,6.0,2.0,3.0,3.0,5.0,2.0,12.0,9.0,13.0,3.0
ZDHHC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZDHHC8,9.0,7.0,6.0,3.0,8.0,2.0,6.0,4.0,1.0,5.0,9.0,9.0,17.0,7.0
VPREB3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
